,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Timing,,Project Information,,,,,,,,,,,Property Information,,,,,,,Broker Guidence,,,Description,Actual Price,,
2,2023-01-11,IM,MM 1-3 & MM 5-7,Anthony Romano,Norli Liv og Pension,Colliers (via Bruun Hjejle),Denmark,Copenhagen,,,,,Office,"41,900","1,599",,,,,4.00%,"1,700,000,000","40,573",3 office buildings in Nordhavn (central Copenhagen). Deal was on the market during 2022 but died. Yield of 4% is before indexation as per 1 Jan-2023. Refund of DKK350 million to be used for the refurbishment for Alm Brand and Seller financing of DKK 350 million to run over 5 years (at market interest rates),,,,1
2,2023-01-12,Lead,Vassingerødvej 4,Anthony Romano,Tenant (GOSH),Tronier Advisory,Denmark,Lynge,,,,,Industrial,"12,355",603,,,,,5.90%,"125,000,000","10,117","10 year sale-and-lease-back of a production and warehouse property. Triple net lease contract. Building rights of approx. 23,000 sqm.",,,,1
3,2023-01-18,Lead,Kebabfabriken,Tomas Rockström,St Kors,n.a.,Sweden,Linköping,,,,,Industrial,"2,000","1,900",,,,,,"39,000,000","19,500","Fullt uthyrd till Meet i Linköping AB är en livsmedelsproducent som producerar ”Slized food”. Hyresgästen har stora expansionsplaner. Nytt 12 årigt avtal på en hyresnivå om 3,8 mkr föreslås tecknas med ny köpare. ",,,,1
3,2023-01-19,IM,Project Kruuse,Anthony Romano,MIK Holding ApS,Colliers,Denmark,Langeskov,,,,,Various,"12,481",,,,,,5.47%,"125,000,000","10,015","Attractive warehouse/logistics property in the best location in Langeskov, located just 4.5 km. to Tietgenbyen (and 16 km from Odense). 1 km to Funen Motorway, with façade directly facing the E20. ",,,,1
3,2023-01-19,IM,Trilogy,Victoria Sandkvist,Corem,Savills,Sweden,Västerås,,,,,Retail,"10,063","1,426",,,,,,,,"3 fully let retail properties located in Erikslund retail park. WAULT of 3.0 years. NOII estimated at 13.3 mSEK in 2023. Largest tenants are Swedol, Willyes and Möller Bil",,,,1
4,2023-01-23,IM,Tuusulan Yrityskeskus,Maija Seppälä,Private investor,MREC,Finland,Tuusula,,,,,Office,"13,596",,,,,,,,,An industrial & warehouse & office complex in Jussla industrial area in Tuusula (Helsinki region). Several buildings constructed in 1969-2003. Main tenants Pharmia and Paperpap.,,,,1
4,2023-01-24,Teaser,Project Flame,Mathias Vuorelma,Genesta,JLL,Finland,Helsinki,,,,,Office,"14,900",,,,,,,,,"Completely renovated landmark office property ROIHU in Ruoholahti, originally built to serve as HQ of Kemira. Occupancy 78%, WAULT 3.7 years, BREEAM Excellent.",,,,1
4,2023-01-25,Teaser,Project Napa,Mathias Vuorelma,eQ Commercial Properties,Newsec,Finland,Kuopio,,,,,Various,"11,900",,,,,,6+%,"29,200,000","2,454","Hotel and retail property in Kuopio city centre, anchored by Scandic, Carlson and McDonald's. WAULT 16 years.",,,,1
4,2023-01-25,Lead,Retail portfolio,Anthony Romano,n.a.,Erhverv Paul Erik Bech,Denmark,Accross DK,,,,,Retail,"20,000",,,,,,,"500,000,000","25,000",12 retail properties across the entire DK. The seller is looking for a long-term investor (10+ years) for the portfolio. The broker will get back with more information as soon as the seller gives permission,,,,1
4,2023-01-25,IM,Project Norrsken,Victoria Sandkvist,Unobo AB,Catella,Sweden,Östersund,,,,,Residential,"46,868","1,024",,,,,5.00%,"506,000,000","10,796",Deal was on the market in 2022 (bid date in Nov-22) but was never sold. The seller have revised their price expectations. 22 residential properties including 546 apartments. 93% residential area. 5% economic vacancy. NOI estimated at 25.3 mSEK,,,,1
4,2023-01-26,IM,Projekt Nyckeln ,Filip Jilsén,Växer i Kalmar AB,Croisette,Sweden,Kalmar,,,,,Industrial,"6,077",710,,,,,,,,Located in the industrial area Hagbygärde with direct access to E22. Two properties with 12 tenants and a WAULT of 2.8 years. Economic vacancy of 1.6% and NOI of SEK3.4m,,,,1
5,2023-01-30,Lead,Støberivej 26,Anthony Romano,n.a.,Engel & Völkers,Denmark,Helsingør,,,,,Industrial,"6,894",644,,,,,5.50%,"77,727,273","11,275",LI property which is currently under construction with expected completion in Dec-2023. Fully let to a single tenant on a 15 year NNN lease. ,,,,1
5,2023-01-30,Lead,Nordskellet 4,Anthony Romano,n.a.,Engel & Völkers,Denmark,Vejle,,,,,Various,"2,750",700,,,,,5.50%,"33,454,545","12,165",LI property which is currently under construction with expected completion in Mar-2023. Fully let to a single tenant on a 10 year NNN lease. ,,,,1
5,2023-01-30,Lead,Priorparken 385,Anthony Romano,PFA,Cushman & Wakefield,Denmark,Brøndby,,,,,Industrial,"25,654",,,,,,,,,Tenant: Postnord. Rent: TBD but Cushman has told us that it is underrented. Year built: 1998,,,,1
5,2023-01-31,Teaser,Project Lyyra,Mathias Vuorelma,Ylva,JLL,Finland,Helsinki,,,,,Office,"8,700",,,,,,,,,"New office property in Hakaniemi with substantial ESG credentials, including energy performance rating A and LEED Platinum. WAULT of 5.4 years, estimated fully let NOI €2.9m.",,,,1
5,2023-01-31,Teaser,Caverion Porvoo,Maija Seppälä,Tekova,Off-market,Finland,Porvoo,,,,,Industrial,"2,885",,,,,,,,,"New light industrial development in Porvoo, fully let to Caverion with a 12-year lease.",,,,1
5,2023-01-31,IM,Projekt Paragon,Filip Jilsén,Paragon Praedium AB (sale-and-leaseback),Croisette,Sweden,Örkelljunga,,,,,Industrial,"9,841",505,,,,,8.50%,,,Sale-and-leaseback of four fully let LI properties in Örkelljunga. The tenant will sign 10-year triple net leases with the buyer. Three of the properties are located next to each other and with direct access to E4. The fourth property is located 15 min by car from the other properties,,,,1
5,2023-02-01,Teaser,Project Treble,Mathias Vuorelma,Citycon and Ilmarinen,MREC,Finland,Various,,,,,Retail,"95,000",,,,,,,,,"Portfolio of three regional shopping centers: Trio in Lahti, IsoKristiina in Lappeenranta and IsoKarhu in Pori. NOI €14.4m, WAULT 3.8 years, occupancy 83%.",,,,1
5,2023-02-01,Teaser & IM,Eden 1,David Hävermark,Ubisoft Entertainment Sweden AB ,Catella,Sweden,Malmö,,,,,Office,"8,157","2,750",,,,,,,,Sale-and-leaseback of a centrally located office property in Malmö. Ubisoft will sign a 10-year triple net lease with the buyer. The property comprises an entire block that has been thoroughly renovated and extended in 2018–2020. Expected NOI of 21.8 mSEK in 2023,,,,1
5,2023-02-02,IM,Skimmedevej 10,Anthony Romano,n.a.,Erhverv Paul Erik Bech,Denmark,Vipperød,,,,,Industrial,"19,900",228,,,,,7.82%,"50,000,000","2,513","LI property located in Vipperød, c. 60 km west of Copenhagen. The property comprises 8 buidlings and is let to 14 tenants. According to broker the property is underrented",,,,1
5,2023-02-02,Lead,Resi in Ronneby,Niklas Torwald,Havsklippan,n.a.,Sweden,Ronneby,,,,,Residential,,,,,,,,,,Off-market opportunity. Seller wants to divest 5 residential properties with 43 apartments in Ronneby. Rental income of c. 6 mSEK per year. Seller also considers divesting a portfolio of residential properties in Karlskrona,,,,1
6,2023-02-09,IM,Production properties in Kaarina,Mathias Vuorelma,n.a.,RHG Real Estate,Finland,Kaarina,,,,,Industrial,"13,308",,,,,,5.53%,"19,200,000","1,443","Two modern (2010 & 2021) production properties in Kaarina, Turku region. One fully let, another occupied by bankruptcy estate",,,,1
6,2023-02-09,IM,Bregnerødvej 124,Anthony Romano,n.a.,Miklos,Denmark,Birkerød,,,,,Industrial,"2,210",710,,,,,9.82%,"14,500,000","6,561","LI property located in Birkerød, north of Copenhagen. The propert consist of 6 premises. Economic vacancy of 68%. Price and yield based on the rental value (i.e. that the property is fully occupied). ",,,,1
6,2023-02-09,IM,Lastbilen 5,Filip Jilsén,AB Mälarverken,Catella,Sweden,Tyresö,,,,,Industrial,"3,838",940,,,,,5.00%,,,"LI property located in Tyresö. 85% occupancy ratio. One tenant with lease until 2030. NOI 2023 estimated at 2,7 mSEK (714 SEK/sqm)",,,,1
7,2023-02-16,Teaser,Project Lakefield,Mathias Vuorelma,eQ Commercial Properties,CBRE,Finland,Various,,,,,Retail,"10,840",,,,,,,,,"Two modern (2017) grocery retail properties in Tampere region (Kaukajärvi and Ylöjärvi). Let to three tenants: Mutalan Kauppa, Tokmanni and Kesko, WAULT 4.5 years.",,,,1
7,2023-02-16,Teaser,Project Flame,Mathias Vuorelma,"Dagmar Oy, Helsingin Vapaaehtoinen Palokunta ry",Cushman & Wakefield,Finland,Helsinki,,,,,Various,"7,700",,,,,,,,,"85% of shares of a freehold office property located in Kamppi, Helsinki. In addition to the two sellers, the property has four other minor owners. Potential for office redevelopment or residential conversion.",,,,1
7,2023-02-16,IM,Hollola health center,Maija Seppälä,Municipality of Hollola,Suomen Toimitila,Finland,Hollola,,,,,Public use,"4,280",,,,,,,,,"Modern (2021) health center property in Hollola. 98% let to wellbeing services county (public tenant) with 13-year WAULT. NOI €1.0m. In autumn, a deal was negotiated at a price of €17.0m (6% yield), but the transaction was never completed.",,,,1
7,2023-02-17,Lead,AFK Logistik LI portfolio,Anthony Romano,AFK Logistik,n.a.,Denmark,Greater CPH,,,,,Industrial,"95,520",,,,,,,,,AFK holds a portfolio (10) of LI properties located in greater CPH. Lindu has initiated a dialogue with the seller through Bruun Hjejle. We are waiting for more information of the assets,,,,1
7,2023-02-17,Teaser & IM,Project Campus,Niklas Torwald,Studentbostäder i Växjö AB,Catella,Sweden,Växjö,,,,,Various,"27,464","1,875",,,,,4.5-5%,,,"Opportunity to acquire nine properties located in Växjö in Kronoberg’s county. The Portfolio contains 888 apartments, with mainly student housing located next to the Linnaeus University. Among the remaining apartments are 117 residentials and 33 hotel apartments. There are also two preschools. NOI for 2023 is estimated at SEK 36.2m",,,,1
8,2023-02-21,Teaser,Project Rembrandt,Carl Rosén,Revelop,Newsec,Sweden,Stockholm,,,,,Office,"13,900",,,,,,,,,"An office portfolio consisting of seven properties, Nattvakten 3, 5-10, located in Sollentuna, northern Stockholm. Diversified tenant mix with ~70 tenants. The properties hold significant value-add potential",,,,1
8,2023-02-22,IM,Project Venti,Mathias Vuorelma,Cromwell,Advium,Finland,Various,,,,,Various,"12,335",,,,,,8.00%,,,A portfolio of two properties: office property in Käpylä (97% occ.) and office and retail property with several public & healthcare sector tenants in Myyrmäki (83% occ.). Accessible micro locations next to train stations.,,,,1
8,2023-02-22,IM,Cramo Tekova,Maija Seppälä,Tekova,-,Finland,Jyväskylä,,,,,Industrial,"2,140",,,,,,6.00%,,,"Light industrial with some office premises in Palokangas industrial area in Jyväskylä. Scheduled completion in Q1 2024, will be fully let to Cramo with a 15-year lease agreement.",,,,1
8,2023-02-22,Teaser,Project Elixir,Mathias Vuorelma,Keva,CBRE,Finland,Various,,,,,Residential,"49,500",,,,,,,,,"Residential portfolio of 19 properties and 896 apartments in HMA (33%) and several regional cities. YoC 1990-2022, occupancy 84%. NOI €6m.",,,,1
8,2023-02-22,Teaser,Project Westwood,Anthony Romano,n.a.,Colliers,Denmark,Various,,,,,Various,"53,024",724,,,,,,,,Last mile logistics portfolio (6 properties) on attractive locations in Greater Copenhagen (five properties in the Municipality of Albertslund and one in Helsingør). Diversified tenant mix. Was out in a process prior to the summer but it never sold because the price expectations were too high.,,,,1
8,2023-02-22,IM,Project Commerce,Carl Rosén,Private individuals,Newsec,Sweden,Kungälv,,,,,Industrial,"9,830",824,,,,,,,,"5 light industrial properties strategically located in Ängegärde industrial area with close access to E6 and central Kungälv. The largest tenants are the municipality, Renta and Granngården. 46% commercial area, 11% retail, 30% warehouse. NOI for 2023 is estimated at SEK 6,838m",,,,1
8,2023-02-23,Lead,Building rights and resi in Gislaved,Niclas Jakobsen,n.a.,MIKE Kommersiella Fastigheter,Sweden,Gislaved,,,,,Residential,553,,,,,,,,,"Residential building rights of 9,000 sqm in Gislaved together with a small existing residential property with 5 apartmetns",,,,1
8,2023-02-23,IM,Midtager 20,Anthony Romano,n.a.,Colliers,Denmark,Brøndby,,,,,Various,"6,064","1,001",,,,,7.44%,"86,200,000","14,215","Fully let car dealership property in Brøndby (20 min from CPH). Approx. 5 years remaining on lease agreement. Potential buidling rights of 2,800 sqm",,,,1
8,2023-02-23,Lead,LI in Triangle Area,Anthony Romano,n.a.,Tristad,Denmark,Fredericia,,,,,Industrial,"23,500",261,,,,,7.75%,"67,500,000","2,872",LI property north of Fredericia (Triangle Area). The asset is underrentedand and offers existing building rights,,,,1
8,2023-02-23,IM,"LI in Almnäs, Södertälje",Filip Jilsén,Fastighetsaktiebolaget Profossen,Rosengren,Sweden,Södertälje,,,,,Logistics,"12,579",471,,,,,,,,"LI properties located in Almäs industrial area with close access to E20. 73% occupancy ratio. NOI for 2023 estimated at SEK 4,858m",,,,1
8,2023-02-24,IM,Sintrupvej 29,Anthony Romano,n.a.,EDC,Denmark,Brabrand,,,,,Industrial,"6,100",280,,,,,5.00%,"28,000,000","4,590",Fully let industrial property in Brabrand (in Aarhus municipality) with close access to E45. Underrented which drives up the initial yield.Tenant is Jas Worldwide Denmark and their lease agreement expires in 2026,,,,1
8,2023-02-24,IM,Industriparken 22 A-C,Anthony Romano,Kamoch Holding ApS,CBRE,Denmark,Ballerup,,,,,Industrial,"13,331",520,,,,,8.05%,"81,987,578","6,150","Prime located LI property in the industrial cluster Ballerup Industripark, north-west of CPH with a strong tenant mix. WAULT of 3.25 years. Potential conversion to data centre. Intererxion owns neigbouring property and are developing a data centre. Intererxion hold an option to buy one of the buidlings in the transaction for DKK 32m up until 31 Mar-2026",,,,1
9,2023-02-28,IM,Hovtången 11,David Hävermark,Famaron AB och Henrik Engström Projektutveckling,A&P Fastighetstransaktioner,Sweden,Vaggeryd,,,,,Retail,"3,290",805,,,,,,,,Newly built big box retail in a good location in Vaggeryd. Fully let to two tenants; Beijer Bygg and Happy Homes. Each of them on a 10-year lease agreement,,,,1
9,2023-03-01,Lead,LI in Uddevalla,Niclas Jakobsen,n.a.,MIKE Kommersiella Fastigheter,Sweden,Uddevalla,,,,,Industrial,800,830,,,,,,,,"LI property, built in 2017, fully let to one tenant until 2027 on a triple-net lease agreement ",,,,1
9,2023-03-01,IM,Vesterlundvej 5-7,Anthony Romano,DBO Vesterlundvej,Erhverv Poul Erik Bech,Denmark,Herlev,,,,,Industrial,"3,071",715,,,,,5.12%,"41,100,000","13,383","Warehouse and office property, built in 1951 and renovated in 2002, fully let to two tenants (Apitzsch & CPH Steel). Located in an older business district close to Herlev city centre, the area is under development (commercial to residential in the long run)",,,,1
9,2023-03-03,IM,Skania,David Hävermark,Nordea Livförsäkring Sverige,Cushman & Wakefield,Sweden,Various,,,,,Office,"11,700","1,957",,,,,,,,Four mixed use properties in Malmö (3 properties) and Bjärred. 99% occupancy ratio. 3.5 years WAULT and NOI of 16.4 mSEK. ,,,,1
10,2023-03-08,IM,Håndværkervej 23,Anthony Romano,n.a.,Gottlieb Partners,Denmark,Fredericia,,,,,Various,"11,510",593,,,,,,,,Fully leased warehouse / production property close to the highway in the triangle area. Triple-net lease agreeement with 5 years remaining,,,,1
10,2023-03-08,IM,Project Isac,Filip Jilsén,n.a.,Croisette,Sweden,Northern Stockholm,,,,,Industrial,"12,958","1,703",,,,,6.0%,"310,000,000","23,923","Four strategically located industrial properties in well-established industrial areas in northern Stockholm (Lunda, Brunna and Stäket), with proximities to European highways. Majority recently built. Economic occupancy of c. 90%",,,,1
10,2023-03-08,IM,Project Waterloo,Filip Jilsén,Aspo Oyj,PwC,Sweden,Stockholm,,,,,Industrial,"6,627","1,050",,,,,,,,Sale-leaseback of 2 light industrial properties located in Tyresö. Fully let on a triple-net lease (5+5 years). Tenant (Kobia) is a pastry and bakery supplier and is owned by a multinational company (Aspo). Estimated NOI of c. 6.8 mSEK,"105,261,538","15,884",6.5%,1
10,2023-03-08,IM,Projekt Madison,Filip Jilsén,Fastighets AB Parkstaden,Croisette,Sweden,Various,,,,,Retail,"22,400",951,,,,,,,,Two big box properties in Ingelsta retail park (Norrköping) and Söderköping retail park. 3 years WAULT and 97% occupancy ratio,,,,1
10,2023-03-08,IM,Projekt Hudson,Filip Jilsén,Fastighets AB Parkstaden,Croisette,Sweden,Enköping,,,,,Various,"6,859","1,475",,,,,5.7%,"110,000,000","16,037","Three centrally located resi properties in Enköping. 50 apartments and commercial premises on ground floor. 52% of area resi, 33% retail and 15% other (restaurant, office etc). 99% occupancy",,,,1
10,2023-03-08,IM,Projekt Avenue,Filip Jilsén,Fastighets AB Parkstaden,Croisette,Sweden,Norrköping,,,,,Residential,"20,548","1,597",,,,,4.5%,"415,000,000","20,197","Two centrally located public use properties (mainly school and public care) in Norrköping. The tenants include Region Östergötland, Jensen Education and Thorengruppen. 32,500 sqm potential building right. WAULT of 3.9 years and 82% occupancy ratio",,,,1
10,2023-03-09,Teaser,Project East,Mathias Vuorelma,Koivunen Oy,Catella,Finland,Various,,,,,Industrial,"38,873",,,,,,,,,Six light industrial and warehouse properties in Helsinki metropolitan area. Sale and leaseback arrangement with spare part distributor Koivunen Oy. Triple-net leases with €2.5m NOI.,,,,1
10,2023-03-09,IM,Project SKI,Mathias Vuorelma,Pyka Oy,Reagle,Finland,Oulu,,,,,Industrial,"4,791",,,,,,,,,"10-year sale and leaseback arrangement of a modern (2016/2023) industrial and warehouse property in Rusko. The tenant, Pyka Oy, is a textile manufacturer.",,,,1
10,2023-03-09,IM,Project Otso,Mathias Vuorelma,Laakkonen family,JLL,Finland,Various,,,,,Retail,"84,990",,,,,,,,,"14 car dealership properties, all fully let to Hedin, one of the Europe's largest car dealers. NOI €8.26m.",,,,1
10,2023-03-10,IM,Project Grönskan,Josefin Bergholtz,Innovation Properties,Tango,Sweden,Stockholm,,,,,Various,"11,349","2,400",,,,,,,,"A turn key residential project from Innovation Properties. 265 rental apartments with an average size of 43 sqm. The properties will be highly energy efficient, certified with the environmental. Zoning is completed. Building permits expected in Q2 2023. Construction start in Q3 2023. Completion and final move-ins in Q1 2025",,,,1
11,2023-03-13,Teaser & IM,Light industrial in Älta,Carl Rosén,Fred & Co AB,Newsec,Sweden,Stockholm,,,,,Industrial,"3,310","2,068",,,,,,,,"2 fully let and modern light industrial properties with well performing tenants located in Älta, Stockholm. Estimated NOI of approximately MSEK 6.0 and a WAULT of c. 4.2 years",,,,1
11,2023-03-16,Teaser,Project Fortius,Mathias Vuorelma,Schroder Real Estate KVG ,Catella,Finland,Helsinki,,,,,Office,"9,332",,,,,,,,,"Voimatalo, located in Kamppi, Helsinki. Occupancy 95%, WAULT 3.9 years.",,,,1
11,2023-03-16,Teaser,Project Aspen,Mathias Vuorelma,Schroder Real Estate KVG ,Catella,Finland,Helsinki,,,,,Office,"24,200",,,,,,,,,"91% let office property in Kalasatama, NOI 4.0m and WAULT 1.9 years.",,,,1
11,2023-03-16,Teaser,Project Phoenix,Mathias Vuorelma,CapMan,Nordanö,Finland,Various,,,,,Various,"15,576",,,,,,,,,"Warehouse and light industrial portfolio of 5 assets in Helsinki, Espoo, Tuusula, Järvenpää and Pirkkala. 90% occupancy, fully-let NOI of €2.3m.",,,,1
11,2023-03-16,Teaser,Project Edison,Mathias Vuorelma,LähiTapiola,JLL,Finland,Vantaa,,,,,Retail,"12,000",,,,,,,"30,000,000",,"Two big box properties in Tammisto, Vantaa. Tenants include Gigantti and XXL. NOI €2.2m, WAULT 4.5 years.",,,,1
11,2023-03-16,IM,Project Olivia Krouvintie 4,Maija Seppälä,Rakennusliike Lapti,Newsec,Finland,Oulu,,,,,Office,"3,953","2,783",,,,,7.5%-8%,"11,000,000",,Fully let new construction office building in Oulu (Limingantulli). Estimated completion 9/2023. Estimated NOI €0.87m. IM was initially received as Project Olivia in 9/2022 (two new construction office properties in Oulu and Vantaa). ,,,,1
11,2023-03-17,IM,Industriparken 34,Anthony Romano,n.a.,Ring3 Erhverv,Denmark,Ballerup,,,,,Industrial,"6,877",587,,,,,7.12%,"57,000,000","8,288",Located in an industrial area close to the highway. Mainly let to two tenants. Economic occupancy of 84%. Existing building rights,,,,1
11,2023-03-17,Teaser,Project Surf,Victoria Sandkvist,NCC,Cushman & Wakefield,Sweden,Göteborg,,,,,Office,"10,871",,,,,,4.00%,,,Newly built office property with waterfront location in Gothenburg. High ESG focus and strong tenants. WAULT of 7.1 years and SEK 42.5m in rental value,,,,1
12,2023-03-22,IM,Frederiksberggade 16,Anthony Romano,n.a.,CBRE,Denmark,Copenhagen,,,,,Various,"4,792","3,318",,,,,4.50%,"284,444,444","59,358",Trophy asset on Stroget fully let to two tenants. One being a retail chain (on a 7.5 year remainig lease term) and the other tenant rents office space (on a UFN lease). NOI of 12.8 mDKK,,,,1
12,2023-03-22,IM,Tempovej 35 - 41,Anthony Romano,Family company (Copenhagen Real Estate),Real Asset Management,Denmark,Ballerup,,,,,Various,"23,313",507,,,,,5.43%,"205,000,000","8,793",Well located logistics property currently used as a distribution and leisure center. The property is located in a business district just next to the highway Ring 4. Nearest S-train station is within 10 minutes walking distance. The property is fully rented to 7 tenants and offers major development opportunities. Real Management seeks a co-investor for the investment and offers an opportunity to scale up the project,,,,1
12,2023-03-23,Teaser,Project H4,Mathias Vuorelma,Schroder Real Estate KVG ,Nordanö,Finland,Helsinki,,,,,Office,"21,750",,,,,,,,,"Value add portfolio of 4 office properties. Nordanö was out with this portffolio in April 2022, and they managed to sell one of the then 5 properties. Challenging properties (especially locations) with quite low occupancy (66-79% per property)",,,,1
12,2023-03-23,IM,Portfolio of LI assets,Anthony Romano,I/S Hadsundvej 12,n.a.,Denmark,Various,,,,,Industrial,"66,378",489,,,,,6.25%,"436,162,911","6,571",Off market opportunity with seven assets located in Greater Copenhagen. NOI estimated at DKK 32.5m,,,,1
12,2023-03-24,Teaser,Industrial in Stenungsund,Niclas Jakobsen,n.a.,MIKE Kommersiella Fastigheter,Sweden,Stenungsund ,,,,,Industrial,"1,590",,,,,,,,,Vacant car dealership in Stenungsund. Built in 1990 and renovated 2015-2017,,,,1
12,2023-03-24,IM,Project Eskil,Carl Rosén,Vixar,Tango,Sweden,Eskilstuna,,,,,Industrial,"5,471","1,121",,,,,,,,Centrally located property in Eskilstuna with mainly school premises but also industrial premises. WAULT of 4.3 years. Fully let (two tenants),,,,1
12,2023-03-24,IM,Project Occidental,Victoria Sandkvist,Ås Härads Holding,Catella,Sweden,Various,,,,,Residential,"59,133","1,262",,,,,,,,"Resi property portfolio in Western Sweden. 824 flats and a lettable area of 59,133 sqm. Potential for rent reversion through renovations and upgrades. NOI estimated at SEK 46.7m",,,,1
12,2023-03-24,IM,Project Tool,Mathias Vuorelma,Hartela Etelä-Suomi Oy,MREC,Finland,Helsinki,,,,,Retail,"2,785","2,513",,,,,,"7,000,000",,"Modern new construction retail property in Konala, Helsinki. Scheduled completion in April 2024. Fully let to single tenant Jula Finland Oy with 10-year WAULT. Estimated NOI €0.42m.",,,,1
12,2023-03-24,IM,Fincap Pysäkkikuja 1,Mathias Vuorelma,FinCap Kiinteistökehitys Oy,LogisTila,Finland,Tuusula,,,,,Retail,"8,742",,,,,,,,,Retail property built in 1995 and 2006 to be fully renovated during 2023-2024. Estimated NOI €0.62m. Anchor tenants will be Lidl and Jysk with 10-year WAULT.,,,,1
12,2023-03-24,Teaser,Project Mergus,Mathias Vuorelma,n.a.,Newsec,Finland,Espoo,,,,,Various,"9,500",,,,,,,,,Value add property in Espoo (Koskelo). Currently leased to single tenant until the end of 2023.,,,,1
13,2023-03-27,Teaser,Fabriksparken 38,Anthony Romano,n.a.,Savills,Denmark,Glostrup,,,,,Industrial,"4,843",452,,,,,6.50%,"30,000,000","6,195",Mixed warehouse/office-property built in 1969. The property is currently fully occupied (four tenants). Potential rental upside,,,,1
13,2023-03-28,IM,Mixed portfolio - Tentacle,Filip Jilsén,Menir AB,Tentacle,Sweden,Various,,,,,Office,"6,652","1,258",,,,,,,,"Industrial and office properties located in Åkersberga, Uppsala and Visby. Economic occupancy of 97%. NOI estimated at SEK 6.2m. ",,,,1
13,2023-03-29,IM,Project Arborist,Josefin Bergholtz,Westbarn Holding,Cushman & Wakefield,Sweden,Oxelösund,,,,,Residential,"14,665","1,111",,,,,,,,9 residential (old stock) properties centrally located in Oxelösund. 87% of rental income from residential. Estimated NOI of SEK 8.3m,,,,1
13,2023-03-29,Teaser,LI Ekerö,Tomas Rockström,n.a.,Newsec,Sweden,Ekerö,,,,,Industrial,"6,400",,,,,,,,,Two LI poperties located in Ekerö. 90% of the rental income is from the Indutrade-owned tenant Winab Vikväggar AB. WAULT of c. 6 years. Development potential (unexploited land area),,,,1
13,2023-03-30,Teaser,Clarion Hotel Admiral,David Hävermark,DNB Eiendomsholding AS,DNB Næringsmegling,Norway,Bergen,,,,,Hotel,"10,733","2,544",,,,,,,,Hotel property in Bergen city center. The Property has 210 hotel rooms and is fully let to Nordic Choice (Clarion Hotel Admiral) with a 100% CPI-adjusted minimum lease until March 2030,,,,1
13,2023-03-30,Teaser,Hallituskatu 7,Maija Seppälä,n.a.,Ab J.Finans Oy,Finland,Kouvola,,,,,Office,n.a.,,,,,,6.90%,"1,825,000",,Office property in Kouvola city centre.,,,,1
13,2023-03-30,IM,Projekt Örnen,Rickard Karlsson,Kungsörs Hem AB,Novier,Sweden,Kungsör,,,,,Residential,"6,012","1,176",,,,,,,,Two residential properties with 78 apartments centrally located in Kungsör. Economic vacancy of 9.2%. NOI estimated at SEK 3.2m. The seller went bankrupt in Jan-2023 (the properties are now part of the bankruptcy estate),,,,1
13,2023-03-30,IM,Hjällbo 150:1,David Hävermark,Nivika Fastigheter,A&P Fastighetstransaktioner,Sweden,Gothenburg,,,,,Industrial,"8,035",781,,,,,,,,Industrial and warehouse property located in Hjällbo. Located 5 km from E45. 92% occupancy ratio distributed on 16 tenants. NOI estimated at SEK 5.6m,,,,1
13,2023-03-31,Teaser,Columbusvej,Anthony Romano,Oskar Group,Steffen Rosberg,Denmark,Gladsaxe,,,,,Various,"38,813",,,,,,,,,Large project in Gladsaxe which is a municipality near Copenhagen (in Region Hovedstaden). The vendor is willing to sell the project either as turnkey or forward funding,,,,1
14,2023-04-04,Teaser,Greater Copenhagen Yards,Anthony Romano,Oskar Group,Steffen Rosberg,Denmark,Brøndby,,,,,Various,"24,000",,,,,,,,,Office project located between Brøndby and Glostrup municipality. The vendor is willing to sell the project either as turnkey or forward funding,,,,1
14,2023-04-05,IM,Platinvej 14,Anthony Romano,OneLog Invest,Colliers,Denmark,Kolding,,,,,Logistics,"24,800",423,,,,,,,,Distribution centre in Kolding fully let to the market leading Danish manufacturing company VELUX A/S on a 15 year lease. Located near the motorway grid in the Trianlge Region. NOI for 2023 estimated at DKK 10.4m,,,,1
14,2023-04-05,IM,LI property in Spånga,Filip Jilsén,Maelir,Catella,Sweden,Stockholm,,,,,Industrial,"2,096","1,050",,,,,,,,Located in the industrial area Lunda in Spånga. Fully let to Däckia on a 5-year lease agreement. NOI estimated at SEK 2.1m,,,,1
15,2023-04-13,Teaser,Project Spring,Maija Seppälä,Logicor,Reagle,Finland,Vantaa,,,,,Various,"5,974",,,,,,,,,"Light industrial and warehouse property close to Helsinki-Vantaa airport currently let to Raskone with a WALT of 3.2 years. Residential and commercial development potential up to 80,000 sqm",,,,1
15,2023-04-13,Teaser,Logistics development in Rønnede,Anthony Romano,n.a.,Engel & Völkers,Denmark,Rønnede,,,,,Logistics,0,,,,,,,"141,550,000","1,142","Large logistics development project in Rønnede, Denmark. Plot area of 249,000 sqm and allowed building area of 124,000 sqm. Easy access to and good visibility from the highway",,,,1
15,2023-04-13,Lead,Staktoften 22 and Gydevang 17-19,Anthony Romano,Private individuals,Cushman & Wakefield,Denmark,Various,,,,,Industrial,"17,403",556,,,,,6.6%,"129,798,026","7,458",Two multi-tenant LI properties located c. 30 km north of Copenhagen in Vedbæk and Allerød. NOI estimated at c. DKK 8.5m,,,,1
