Country,Timing,,,,,,Property Information,,,,,,,,Description
,Week nr.,Date received,Project name,Recieved by,Seller,Location,Use,"Leasable area, sqm","Base rent incl. index, CCY/sqm","NOI, CCY","WAULT, years","Economic occupancy rate, %","Deal value, MCCY",Yield,Comment 
Denmark,18,2025/04/30,Aalborg N,Anthony Romano,Innovater,Various,Retail,"21,000",-,"1,248",12,-,-,-,"Aalborg N is a retail destination in the North Denmark Region, featuring a mix of supermarkets and specialty stores. The site benefits from good accessibility due to its proximity to major highways and serves a large catchment area. Expected completion Q2 2027."
Denmark,18,2025/04/30,Bjerringbro,Anthony Romano,Innovater,Various,Retail,"2,000",-,"1,000",10,-,-,-,"Located in central Denmark, Bjerringbro has strong industrial and retail presence. The site is positioned near key amenities and transport links. Expected completion Q3 2026."
Denmark,18,2025/04/30,Brande,Anthony Romano,Innovater,Various,Retail,"4,050",953,928,12,-,-,-,"Brande is known for its industrial sector. Construction of the first phase of the project will be finalised in Q3 2025 where tenants will take over. There is room for a second phase with potentially 2,750 sqm."
Denmark,18,2025/04/30,Ballerup,Anthony Romano,Innovater,Various,Retail,"5,700",-,"1,421",11,-,-,-,"Ballerup is a suburban hub in the Greater Copenhagen area, known for its strong transport connections and business parks. The retail project has attracted significant tenant interest due to its  location. Expected completion Q4 2026."
Denmark,18,2025/04/30,Nyborg,Anthony Romano,Innovater,Various,Retail park,"14,500","1,111","1,077",11,100%,-,-,"Nyborg is a transport hub on Funen, offering good accessibility via the Great Belt Bridge. The retail park is located to serve a large customer base from nearby towns. Expected completion Q1 2025."
Denmark,18,2025/04/30,Haslev,Anthony Romano,Innovater,Various,Retail park,"6,500",995,970,11,100%,-,-,The retail park benefits from good logistics and proximity to existing shops. The project was finalised in Q4 2024.
Denmark,18,2025/04/30,Ishøj,Kristina Alderin,Tanmia,Ishøj,Residential,"9,510","2,058",-,-,-,-,-,"A new residential development in Ishøj Municipality, located in Greater Copenhagen. The project includes 20 row houses and 121 apartments."
Denmark,18,2025/05/01,Engrækkerne,Anthony Romano,Artha,Kokkedal,Residential,"16,663","1,638","1,415",-,55%,500,4.7%,"Engrækkerne is a newly developed residential community in Kokkedal, featuring 136 terraced houses. Stages 1 and 2 were completed in March 2024, and the final stage was completed in December 2024. "
Denmark,18,2025/05/01,Roskilde,Anthony Romano,,Roskilde,Residential,"4,636","2,118","1,818",-,-,205,4.1%,"Comprises of 61 apartments: 46 on free-market rent and 15 youth housing units, along with 336 sqm of commercial space. The turnkey project will be delivered fully or nearly fully let. Potential pricing flexibility due to the seller being under pressure from the bank to sell."
Sweden,18,2025/04/30,NSF IV & V,David Hävermark,Invela,Various,Industrial,"108,135","1,528","1,087",3,-,-,-,"Consists of two portfolios, each owned by a different fund: NSF IV includes 13 properties and NSF V includes 19. The properties are spread across Sweden. The seller does not want to split the portfolios, so buyers need to either acquire both portfolios or all the properties in one of the portfolios."
Sweden,19,2025/05/05,Project Geminii 2,Carl Rosén,Schroder Real Estate,Various,Retail,"11,108","1,978","1,877",8,100%,-,-,"Comprises two retail assets located in Täby and Lund, Sweden. Both properties are strategically positioned with access to major roads, reaching over 200,000 households within a 20-minute drive. The portfolio features well-performing tenants secured by long leases with a WAULT of 7.9 years. The properties can be sold together or separately."
Denmark,19,2025/05/05,Tune Midtby,Anthony Romano,,Greve,Residential,"3,648","1,715","1,465",-,-,117,4.6%,"Tune Midtby is a new residential development located at Industrisvinget 1 in Tune, within Greve Municipality. The project consists of 4 buildings, each with 2 floors and a total of 48 apartments, offering a variety of unit sizes from 62 to 91 sqm. "
Denmark,19,2025/05/05,Jernholmen 34C,Anthony Romano,,Hvidovre,Industrial,"3,590",-,-,-,-,-,-,"The property at Jernholmen 34C is undergoing a warehouse extension that will increase the total lettable area from 3,590 sqm to 4,721 sqm. Currently, the building comprises 315 sqm of office space and 3,275 sqm of warehouse space. Post-extension, the warehouse area will grow to 4,406 sqm, while the office space will be unchanged."
Finland,19,2025/05/05,Project Valora,Mathias Vuorelma,Logicor Oy,Various,Industrial,"37,000",-,62,3,76%,-,-, The portfolio includes strategically positioned industrial and logistics properties adjacent to major roadways and transport infrastructure across Finland. It offers more than 41% NOI upside potential.
Sweden,19,2025/05/05,Stockholm Syd,Kristina Alderin,OOF Group,Nykvarn,Logistics,"28,000",-,-,-,-,-,-,"Forward commitment opportunity for a 28,000 sqm logistics project in Nykvarn, Stockholm South. No tenant in place; seller takes on construction and financing risk, buyer takes leasing risk through forward commitment."
Finland,19,2025/05/06,Project Lotus 2,Mathias Vuorelma,Lumo Kodit Oy,Various,Residential,"32,100",231,171,-,92%,-,-,Project Lotus comprises 11 properties located in micro-locations within the Helsinki Metropolitan Area. The properties benefit from good public transportation connections and a wide variety of nearby services.
Sweden,19,2025/05/06,Kvartetten,Josefin Bergholtz,,Various,Residential,"2,993","1,565","1,537",-,-,-,-,"A portfolio of four properties located in suburban areas of Stockholm, including Gamla Enskede, Hägersten, and Bromma. Includes a total of 50 apartments, 27 of which are rented on short-term contracts."
Sweden,19,2025/05/06,Project Swan 2,Carl Rosén,Magnolia/Heimstaden,Upplands Bro,Residential,"8,537","1,900","1,742",-,-,-,-,"Project Swan is a residential project located in Bro Mälarstad. The project comprises 199 residential units across five buildings and has a normative rent of SEK 1,550 per sqm."
Sweden,19,2025/05/06,Svenljunga,Carl Rosén,Star Trading i Svenljunga,Svenljunga,Logistics,"40,472",617,565,-,-,-,-,"Project Svenljunga is located in the Moga industrial area of Svenljunga. The property is fully leased to Star Trading under a 10-year agreement. It benefits from good transport links, including proximity to major roads and regional markets. "
Denmark,19,2025/05/06,Hammerhaven,Anthony Romano,"Bech Hansen Holding, Frandsen Holding",Roskilde,Residential,"4,666","2,107","1,807",-,-,205,4.1%,"Hammerhaven is a development project located in Roskilde, featuring 46 rental apartments, 15 public youth housing units, and 4 commercial units. The project is designed with a focus on sustainability and is certified to DGNB Gold standards."
Sweden,19,2025/05/07,Sankt Jakob 14,Josefin Bergholtz,,Lund,Mixed Use,"3,151","1,999","1,460",-,100%,-,-,"Sankt Jakob 14 is located in Lund city center. The property consists of 12 apartments, 941 sqm of retail space and 973 sqm of office space."
Sweden,19,2025/05/08,Project Primula,Carl Rosén,,Various,Public Use,"1,805","2,450","1,914",5,-,-,-,"Project Primula consists of three properties located in Kungsbacka and Nyköping, comprising a preschool and two LSS facilities. These properties are fully leased to municipal and foundation tenants. "
Sweden,19,2025/05/08,Campus Hills,Carl Rosén,Wood & Hill AB,Various,Residential,"12,756","2,289","1,713",-,97%,-,-,"Located in Karlstad, Triangeln 1 and Trombonen 1 offer 390 residential units. The properties are positioned near Karlstad University. Both properties are equipped with solar panels."
Sweden,19,2025/05/08,Hamn & Berg,Josefin Bergholtz,F. Holmström Fastigheter i Nynäshamn AB,Various,Residential,"14,156","1,276","1,076",-,98%,-,-,"Hamn & Berg comprises two properties located in Nynäshamn and Åkersberga, consisting of residential and commercial spaces. The portfolio comprises 121 residential units and 4,031 sqm of commercial space. Both properties are well-connected to Stockholm."
Denmark,20,2025/05/13,Project Noma,Anthony Romano,Blackstone,Various,Logistics,"143,000",524,-,1,100%,-,-,"Project Noma comprises five logistics properties located in key transportation hubs in Copenhagen, Aarhus, and Horsens. The portfolio is fully occupied, and offers significant rental upside potential due to current under-rent conditions."
Sweden,20,2025/05/13,Sigtuna Stadsängar 2,Carl Rosén,Sigtuna Kv. 17 & 18 AB,Various,Residential,"4,961",-,-,-,-,-,-,Sigtuna Stadsängar is a residential development project with good connectivity to Uppsala and Stockholm. The project includes plans for 84 residential units and 54 parking spaces. It is situated just 15 minutes from Arlanda Airport.
Sweden,20,2025/05/13,Svartbäcken,Albin Östmarck,Förvaltix Holding,Uppsala,Industrial,"1,959","1,344","1,153",2,100%,35,6.5%,"Located in central Uppsala, Svartbäcken 46:16 is a fully leased industrial and commercial property with development potential. Initial studies suggest potential for residential conversion with a possible volume of 6,000-7,000 sqm."
Sweden,20,2025/05/13,Amaron Commercial Properties ,David Hävermark,Amaron Commercial Properties,Various,Industrial,"33,386",-,-,-,-,-,-,"Amaron Commercial Properties is raising capital to invest in logistics, warehouse, and industrial properties in the Öresund region, with a strong focus on sustainability. Their current fund conssits of 33,386 sqm of industrial properties. The offering is structured as an equity-based Alternative Investment Fund (AIF), listed on the NGM Main Regulated Nordic AIF, with an expected annual return of 12–17% plus a 4% dividend."
Sweden,20,2025/05/13,Kamaxeln 2,David Hävermark,Annehem Fastigheter,Malmö,Office,950,"1,719","1,511",3,100%,-,-,"Located in Toftanäs, Malmö, Kamaxeln 2 is an office and industrial property built in 2001. It is fully leased to Peab Lokal AB until 2028. The property benefits from good transport links and proximity to major highways 29."
Sweden,20,2025/05/13,Grafiten,Albin Östmarck,GH8 Holdings AB,Various,Industrial,"19,767","1,071",786,5,99%,222,7.0%,"Grafiten consists of three properties located in Trollhättan, offering a total leasable area of 19,767 sqm. The properties are nearly fully leased. The portfolio includes potential for further development with additional building rights."
Sweden,20,2025/05/12,Project Southbound,Elisabet Forsell,Private individuals,Södertälje,Industrial,"297,399",-,-,-,-,-,-,"Industrial zoned land in Södertälje. The zoning plan allows for industrial and logistics development, as well as central services, and fuel and charging services. "
Finland,20,2025/05/14,Project Astoria,Mathias Vuorelma,,Various,Residential,"11,300",327,257,-,90%,-,-,"Residential property portfolio with five buildings, four freehold and one leasehold. The assets have a total of 181 apartments and 13 retail spaces. "
Denmark,20,2025/05/16,Nordic Greens,Anthony Romano,Nordic Green Salat A/S,Odense,Industrial,"55,973",252,251,10,100%,175,8.0%,"A sale-and-leaseback transaction with Nordic Greens under a new 10-year triple-net lease. The property is situated in Odense, Denmark, and features a combination of office, warehouse, and greenhouse facilities."
Sweden,21,2025/05/20,Hamnvakten 7 2,David Hävermark,Landia,Stockholm,Residential,"14,442","4,664","3,894",3,100%,-,-,"The property is located in Södermalm with a mix of residential and commercial spaces. It has good public transportation links, including a new subway station under construction directly beneath the building. "
Sweden,21,2025/05/20,Project Primula 2,Carl Rosén,Northern Horizon,Various,Public Use,"1,232","2,179","1,700",2,-,-,-,"Project Primula consists of two properties located in Kungsbacka, comprising a preschool and an LSS facility. These properties are fully leased to municipal and foundation tenants. "
Sweden,21,2025/05/20,Project Alba 2,Carl Rosén,Northern Horizon,Various,Public Use,573,"2,995","2,375",10,-,-,-,Project Alba consists of an LSS property in Nyköping. These property is leased to Mo Gård.
Sweden,21,2025/05/20,Malmö Härden 5,David Hävermark,Private owner,Malmö,Residential,868,"1,483",953,-,-,-,-,"Located in Möllevången, Malmö, Härden 5 consists of 18 apartments. The property is situated close to Folkets Park and has good access to public transportation."
Denmark,21,2025/05/20,Rødovre Townhouses,Kristina Alderin,,Rødovre,Residential,"7,056","2,000","1,740",-,-,-,-,"The property at Tæbyvej 21 is planned for residential and commercial use, with a total leasable area of 7,056 sqm. Tanmia, the developer, have assumed that they can build townhouses on 70% of the site."
Denmark,21,2025/05/20,SFH in Køge,Kristina Alderin,Raundahl & Moesby,Køge,Residential,"8,800","1,723","1,519",-,-,-,-,"Residential development project in Køge, consisting of 64 SFH (2 floors) combined with 42 SFH small residential apartments laid out over 2 stories. The developer expects to have secured legal access to the development rights by June 10th, 2025."
Sweden,21,2025/05/21,Project Metropolitan 2,David Hävermark,Blackstone,Various,Logistics,"70,542","1,346","1,144",5,98%,-,-,Project Metropolitan comprises eight urban logistics assets in Gothenburg and Stockholm. The portfolio benefits from a diversified tenant mix and has an average site coverage of 40%. 
Sweden,21,2025/05/21,Project Pilot 2,Josefin Bergholtz,F. Holmströmsgruppen ,Various,Residential,"2,091","1,581","1,086",-,-,-,-,"Located in Skarpnäck, the properties are within walking distance of the Skarpnäck subway station, a 20-minute commute to T-Centralen. The buildings include energy-efficient features like solar panels and geothermal heating."
Finland,20,2025/05/16,Vantaan Hakunila,Mathias Vuorelma,Asunto Oy Vantaan Hakunilan Heporinne,Various,Residential,"2,253",-,-,-,-,-,-,The property contains 51 rented apartments and is located within walking distance of Hakunila's center. The building was completed in 2023 and approx. 100% of the apartments are rented out.
Finland,20,2025/05/16,Espoon Tuomarila,Mathias Vuorelma,As Oy Espoon Palokärki,Various,Residential,476,-,155,-,-,-,-,A two-story apartment building with 14 rental apartments. The property is a short walk from the Tuomarila tran station. Approx 100% of the apartments are rented.
Denmark,22,2025/05/28,Project Carry,Anthony Romano,Wihlborgs A/S,Various,Logistics,"69,449",747,655,3,20%,-,-,"Project Carry is a portfolio of last mile logistics and light industrial properties located within a 20 to 30-minute radius from central Copenhagen. The properties have a GLA of 69,400 sqm. Office makes up 18% of the portfolio GLA. "
Sweden,22,2025/05/30,Project Stairway,David Hävermark,Areim,Various,Light Industrial,"28,310","1,645","1,529",6,95%,-,-,The portfolio comprises ten properties across the Gothenburg and Stockholm-Uppsala regions. The properties are primarily single-let with a diverse tenant mix. There is potential to increase rental income with average in-place rents below market levels and potential from vacancies.
Denmark,23,2025/06/02,Foldagervej 11,Anthony Romano,,Køge,Industrial,"1,493",761,718,-,100%,18,6.1%,"Foldagervej 11 is a newly built warehouse with associated office in Lille Skensved. The property is situated in a commercial area with proximity to local facilities, and with easy access to main roads and the highway."
Denmark,23,2025/06/02,Sandvadsvej 15A,Anthony Romano,,Køge,Industrial,"2,947",712,651,-,100%,32,6.1%,"Sandvadsvej 15A is a warehouse facility with associated office located in Køge, with easy access to main roads and highways. The property is situated in a fully developed industrial district, particularly known for the car and transport industry."
Sweden,23,2025/06/02,Hässleholm Bostadsportfölj,Josefin Bergholtz,Bror Dahlblom Fastighetsaktiebolag,Various,Residential,"23,929","1,082",516,-,100%,-,-,The residential portfolio is located in central Hässleholm. There is considered to be good potential to increase the rents through utility value assessments. The properties have been owned by the same family since the 1960s. 
Denmark,23,2025/06/03,Smedeland 12 & 16,Anthony Romano,,Various,Industrial,"9,328",537,503,-,-,103,4.5%,A revitalisation project of commercial two commercial warehouse properties with several buildings in Glostrup. The properties are bought without tenants. Elevate Development will develop the properties to optimise rent. 
Denmark,23,2025/06/03,Hovedvejen 107,Anthony Romano,Niam,Glostrup,Office,"5,731","1,159","1,281",-,80%,117,6.3%,"The property was built in 2004 and comrpises of three condominium units, with Hovedvejen 107 forming unit 1, which includes the entire building facing Hovedvejen. All tenants moved in during 2024 and 2025."
Finland,23,2025/06/02,Pasila Tower,David Hävermark,Castellum,Helsinki,Office,"15,528",-,-,-,-,-,-,"Pasila Tower in Helsinki, near Tripla, was paused in 2022 due to market conditions. Castellum now plans to restart the project with a new concept. The property is currently leasehold, but the plot may be acquired upon completion. The building is planned to be expanded by 5,244 sqm."
Denmark,24,2025/06/10,Parkhus - Sankt Hans,Kristina Alderin,Löfte PD,Roskilde,Residential,"4,994",-,-,-,-,-,-,"Parkhus - Sankt Hans is situated in Roskilde and consists of three buildings. It is a mix of MFR and SFR, such as apartments, duplexes and townhouses."
Sweden,25,2025/06/15,Ceres Properties,David Hävermark,,Various,Residential,-,-,-,-,-,-,-,An opportunity to invest in Ceres Properties which offers exposure to a portfolio of residential properties focused on student and youth housing.
Sweden,25,2025/06/16,Project Delta 2,David Hävermark,,Various,Industrial,"60,000","1,167",667,-,-,-,-,"There are currently 60,000 sqm of storage and industrial purposes in the portfolio in Södra Hagalund. Around 210,000 sqm of building rights of mainly housing and commercial premises. The first zoning plan for c. 54,000 sqm has gained legal force."
Denmark,25,2025/06/18,Project Harmony 2,Kristina Alderin,Birch Ejendomme,Various,Residential,"86,000","1,326",-,-,-,-,-,"A portfolio of terraced housing consisting of 960 residential units spread across Jutland, Funen and Zealand. One completed project, with the other ten sites expected to be completed between Q3 2025 and Q4 2027. IRR of 14-19%."
Sweden,25,2025/06/19,Project ResiDo,Josefin Bergholtz,,Various,Residential,"149,348",-,-,-,-,-,-,"Residential portfolio with key locations in Stockholm, Mälardalen and Malmö. The portfolio consists of 22 properties with 2,496 apartments. Average apartment size of 55 sqm."
Denmark,25,2025/06/20,Thybo Projects,Kristina Alderin,Thybo,Various,Residential,"37,298",-,-,-,-,-,-,"Residential development projects across Denmark. The projects comprise a mix of townhouses, apartment buildings and single-family plots. Construction start is in 2025 and have building time ranges from 12 to 16 months. "
Denmark,26,2025/06/25,Northgate Portfolio,Anthony Romano,,Various,Residential,"29,181","1,637","1,350",-,100%,"1,036",3.8%,"MFR portfolio consisting of 4 fully let standing assets built 6 months to 2-3 years ago. Located in Rødovre, Glostrup, Herlev and Roskilde. "
Denmark,26,2025/06/25,Naverland 17,Anthony Romano,Decorum,Glostrup,Industrial,"10,893",706,642,-,93%,117,6.0%,A commercial property in Glostrup that was previously the headquarters of Paaske Brød. The property is renovated with an invsestment of c. DKK 20M. Approximately 40% of the total area is leased on 5-10 year's non-termination agreements.
Denmark,26,2025/06/25,Rugvænget 10-12 2,Anthony Romano,Decorum,Taastrup,Industrial,"8,441",804,-,-,-,-,-,"The property was acquired by the seller mid-2024 for DKK 35M and is now refurbishing the asset. It is not yet for sale, but could discuss with the seller if there is an opportunity to purchase the property. Price estimate is currently around DKK 80-90M. "
Sweden,25,2025/06/18,Hotel in Skåne,David Hävermark,,Skåne,Hotel,-,-,-,-,-,-,-,A coastal hotel property in Skåne that can be converted for other uses or into exclusive residential housing.
Denmark,27,2025/06/29,Project Harmony 3,Kristina Alderin,Birch Ejendomme,Various,Residential,"86,823","1,331","1,147",-,66%,-,-,"A portfolio of terraced housing consisting of 960 residential units spread across Jutland, Funen and Zealand. One completed project, with the other ten sites expected to be completed between Q3 2025 and Q4 2027. IRR of 14-19%."
Sweden,27,2025/06/30,Stäket strand,Josefin Bergholtz,,Järfalla,Residential,"5,701",-,-,-,-,-,-,"Residential building rights for 71 apartments by Stäketsundet. The municipality expects to adopt the zoning plan in Q4 2025, once a new buyer is in place."
Sweden,27,2025/06/30,Malmö Bläckhornet 2,Josefin Bergholtz,Granitor Holding AB,Malmö,Residential,"3,451","2,869","2,354",-,-,-,-,"Forward sale of a residential property (leasehold) with completion estimated in 2027. The property is located in central Hyllie, 400m from Hyllie station and will include 70 apartments."
Sweden,27,2025/06/30,Säby Kanalpark,Josefin Bergholtz,Bimery Holding AB,Österåker,Residential,-,-,-,-,-,-,-,"Residential building rights of approximately 65,000 light BTA, located near Åkers kanal in Åkersberga. The properties are currently zoned for industrial use, but the seller is working with the municipality on a zoning plan that would allow residential development. Existing cash flow from industrial properties"
Denmark,27,2025/07/01,Kollekollevej-39,Anthony Romano,,Furesø ,Residential,"3,504","1,949","1,691",-,-,127,4.7%,"33 residential units, possible to acquire through a forward-funding deal or submit an offer for the building rights only. "
Denmark,27,2025/07/01,Købmagergade 53,Anthony Romano,,Copenhagen,"Office, Residential","1,169","2,238","1,800",-,-,65,3.2%,"Property located in central Copenhagen, with a leasable area of 1,169 sqm, of which 600 sqm office, 287 sqm retail/café and 282 sqm residential. Espresso house is the largest tenant. "
Denmark,27,2025/07/01,Øresundsvej 51,Anthony Romano,,Copenhagen,Residential,"1,575","3,125","2,576",-,100%,97,4.2%,"Newly produced residential property at Amager, including 40 smaller apartments (35-59 sqm units)"
Denmark,27,2025/07/03,Stensdal assets,Anthony Romano,Stensdal Ejendomme A/S,Various,Light Industrial,"18,849",677,677,-,98%,219,5.8%,"Portfolio of three assets, two in Brøndby, and one in Ballerup. 40% office, 51% warehouse, 9% other"
Sweden,27,2025/07/04,Zenit,Josefin Bergholtz,Flora Professional,Helsingborg,Industrial,"45,429",-,-,-,-,-,-,"The property is located in Helsingborg’s South Harbor industrial area. The surrounding area is set for significant development, including the relocation of the Port of Helsingborg and a new container harbour. The existing property will be demolished, the site offers a large-scale development opportunity"
Finland,28,2025/07/07,Nordhaven,Mathias Vuorelma,Ilmarinen,Various,Residential,"54,000",-,167,-,94%,-,-,Portfolio of 13 residential assets (22 buildings) in HMA. 94% economic occupancy. Potential for leasing optimization and ESG improvements
Sweden,28,2025/07/07,Palladium,Carl Rosén,AB Svenska Spel,Stockholm,Other,"5,800",-,-,-,-,-,-,"Located next to Stockholm Central station, formerly housing Casino Cosmopol, now available for redevelopment opportunities"
Denmark,28,2025/07/09,Hornslet Vest,Kristina Alderin,,Aarhus,Residential,-,-,-,-,-,-,-,"SFR development site in Aarhus of 124,000 sqm sub-divided into three sub-areas with potential for up to 27,000 sqm of lettable area"
Denmark,28,2025/07/09,Engholmene,Kristina Alderin,,Copenhagen,Hotel,"12,500",-,-,-,-,600,-,"Development for a Marriott hotel with 110-120 rooms and 12,500 sqm in total, including a supermarket. The location is close to the harbor, just 150m away from a new metro line. Completion estimated Q1 2028"
Sweden,28,2025/07/11,Bergkulla,David Hävermark,,Jönköping,Industrial,"65,600",-,-,-,-,-,-,Development of a new office and production facility for SAAB on a triple net lease agreement in Hedenstorp
Denmark,30,2025/07/20,Agro Food Park,Kristina Alderin,Nordstern,Aarhus,Office,"11,465","1,096","1,029",-,-,205,5.7%,"Forward funding of a property with office premises, laboratories and test facilities, leased to Teknologisk Institut (8,000 sqm), and Agro Food Park (3,500 sqm). Completion estimated Q1-Q3 2027"
Sweden,30,2025/07/23,MG Park Västerås,David Hävermark,,Västerås,Logistics,"35,629",940,-,8,-,-,-,"Logistics property located in Hacksta logistics area in Västerås, let to ICA. The rental income is EUR 83.3M. The property is BREEAM Very Good and meets EPC A"
Sweden,33,2025/08/14,ResiDo,Josefin Bergholtz,SEB Domestica,Various,Residential,"152,565","2,202","1,704",-,96%,"6,135",4.2%,"Portfolio of 26 residential properties across Sweden (54% in Mälardalen and 36% in Malmö/Lund). 2,500 apartments in total, with an average build year of 2014"
Finland,33,2025/08/12,Project Jump,Mathias Vuorelma,,Various,Light Industrial,"11,076",-,117,9,100%,-,-,"Two modern light industrial assets in the Tampere region (Nokia and Pirkkala). The portfolio includes 11,076 sqm of lettable area and is expected to generate a NOI of EUR 1.3M upon completion of the second asset in April 2026. The properties are fully let with triple-net leases"
Sweden,33,2025/08/14,Norrköping & Finspång,David Hävermark,Livi Fastigheter,Various,Residential,"25,690","1,579",-,-,92%,-,-,"Two residential properties, 6,300 sqm in Norrköping and 19,390 sqm in Finspång"
Finland,34,2025/08/19,Swan,Mathias Vuorelma,Varma,Helsinki,"Care, Office","7,832",-,97,2,-,-,-,"Development property in central Helsinki, in the Punavuori district. The property was built in the 1960s and is currently leased to the City of Helsinki and HOK-Elanto. The anchor tenant, the City of Helsinki, will vacate the property in 2027. There is development potential for, e.g., residential use, although this will require rezoning"
Sweden,34,2025/08/20,Bergvik,Elisabet Forsell,Bergvik Property AB,Söderhamn,Datacenter,-,-,-,-,-,-,-,"Industrial site in Söderhamn of 25 hectares, with a capacity of 100-150 MW. Land is not zoned. There is an existing factory building of 6,000 sqm on the site"
Denmark,34,2025/08/21,Holbaekvej,Kristina Alderin,,Kalundborg,Residential,"9,000","1,650","1,375",-,-,244,5.1%,Development project of 123 residential units in Kalundborg
Denmark,33,2025/08/14,Thybo Portfolio,Kristina Alderin,,Various,Residential,"48,650",-,-,-,-,-,-,"SFR Portfolio including five different projects in different locations (Kalundborg, Ringsted, Odder, Helsinge). Completions in 2026-2027"
Sweden,34,2025/08/21,Titan,Albin Östmarck,Mattssons Fastigheter AB,Various,Logistics,"17,331",982,844,4,100%,-,-,"Portfolio of 4 properties in Jursla, Herstadberg, Ingelsta and Butängen in Norrköping. The properties include warehouse, logistics, some retail and office"
Germany,34,2025/08/22,Project Vista Rhein,Kristina Alderin,,Ludwigshafen,Office,"5,101",420,-,-,-,38,-,"Opporuntity to invest in an office conversion project as a club deal. New use: Combination of student, co-living, micro and business apartments. Purchase price of land with existing buildings of EUR 8M. EUR 38M investment in total as a club deal"
Sweden,35,2025/08/25,Segerdal,Josefin Bergholtz,Genova,Knivsta,Residential,"17,944","2,684","2,229",-,-,897,4.5%,"Rental asset of 284 apartments in central Knivsta. The first phase is completed and fully let since 2023, phase two will be completed in December 2025"
Sweden,35,2025/08/25,Lokomotivet,Josefin Bergholtz,"L2 Fastigheter, Inter Leisure i Göteborg AB",Gothenburg,Office,"6,649","2,499","2,230",-,100%,-,-,"Property located in Gamlestaden, built in 1925 and 1986. The buildings have been renovated to modern office premises and are leased to 9 different tenants. Potentiall additional building right of 20,000 sqm BTA"
Sweden,35,2025/08/26,Project Piper,Carl Rosén,NREP,Stockholm,Hotel,"17,617","5,903",-,10,-,-,-,Clarion Amaranten (Strawberry) at Kungsholmen. 4th largest hotel in Stockholm in 461 keys and an estimated rental income of SEK 104M
Finland,35,2025/08/27,Project LEA,Mathias Vuorelma,,Espoo,Residential,"4,796",-,229,-,-,-,-,Forward funding or furward purchase opportunity of a residential project in Suviniitty close to Espoo centre.104 residential units with an average size of 45 sqm. Completion H1 2027
Sweden,35,2025/08/27,MG-Park Västerås,David Hävermark,MG RE Invest,Västerås,Logistics,"35,629",900,921,8,100%,-,-,"Logistics property located in Hacksta logistics area in Västerås, let to ICA. The rental income is EUR 83.3M. The property is BREEAM Very Good and meets EPC A"
Denmark,35,2025/08/28,Kolt Østerparken 300,Kristina Alderin,,Hasselager,Land,"10,400",-,-,-,-,26,-,"52,000 sqm land area with potential for 10,400 sqm of resi. No zoning in place yet. Building right price of 2,500 PSM"
Norway,35,2025/08/28,Project Datai,David Hävermark,,Valle,Land,-,-,-,-,-,-,-,"Data center site in Valle, Norway, with 100MW+ accessible power. The site spans 200,000 sqm, with potential expansion to 400,000 sqm and is approved for industrial use (incl. data center), however, zoning to be completed by new owner - exp. approval H1 2026"
Sweden,35,2025/08/28,Utfarten 3,Filip Gustavsson,Studentbostäder i Norden,Växjö,Residential,"2,088","1,761","1,125",-,-,39,6.0%,"7 buildings with 72 student apartments in total, built year 2006. Located on walking distance from the university in Växjö"
Finland,35,2025/08/28,Customs House,Mathias Vuorelma,BlackRock,Helsinki,Office,"7,500",-,293,7,-,42,5.3%,"Prestigous, fully refurbished office property at Erottajankatu in Helsinki CBD. EUR 2.2M in current NOI, estimated EUR 3.1M as fully let. Anchor tenants include e.g., Oras Invest, Norvestor, Trevian, Skanno"
Finland,35,2025/08/28,Vantaan Kaskelanrinne,Mathias Vuorelma,,Vantaa,Care,"1,588",-,233,18,-,-,-,Care asset in central Vantaa. Newly built with a WAULT of 18 years
Finland,35,2025/08/29,Juho,Mathias Vuorelma,,Helsinki,Hotel,"6,742",-,282,-,90%,-,-,"Prime hotel property in Helsinki CBD, directly connected to the metro and surrounded by key commercial and tourist destinations. The asset offers significant value-add potential post-lease through renovation and repositioning. The location benefits from strong tourism growth and high long-term demand."
Finland,35,2025/08/29,Fleet,Mathias Vuorelma,Scania,Vantaa,Industrial,"6,661",-,-,15,100%,22,-,"Newly completed (2025) freehold industrial/logistics asset with 15-year triple-net lease to Scania Suomi Oy. EPC B. Prime location in Aviapolis, Vantaa"
Sweden,27,2025/07/04,Zenit,Josefin Bergholtz,Flora Professional,Helsingborg,Industrial,"45,429",-,-,-,-,-,-,"The property is located in Helsingborg’s South Harbor industrial area. The surrounding area is set for significant development, including the relocation of the Port of Helsingborg and a new container harbour. The existing property will be demolished, the site offers a large-scale development opportunity"
Sweden,35,2025/08/29,Steninge,Josefin Bergholtz,,Sigtuna,Residential,"1,540","1,985","1,878",-,100%,-,-,"14 semi-detached rental semi-detached houses built 2020, located in Steninge Slottsby. Fully let. Modern standard. No tenant right of possession. The units are leased out for 18,200 SEK per month"
Sweden,36,2025/09/01,Bläckhornet 3,David Hävermark,Granitor,Malmö,Residential,"3,451","2,869","2,354",-,-,-,-,"Forward sale of 70 rental apartments in Hyllie, Malmö. Expected completion 2027. Leasehold property"
Finland,36,2025/09/01,Triplet,Mathias Vuorelma,,Tampere,Retail,"23,660",-,93,6,99%,-,-,"Big box retail portfolio with three assets in Lielahti, Tampere. Anchor tenants include Lager157, Puuilo, Minimani, and K-Rauta"
